,network,image_idx,target_cls,delta,bounds,linna_time (seconds),linna_timeout,linna_is_real_cex,linna_result,linna_error
0,MNIST_3x100,0,5,0.02,"(6, 6)",9.616331724999895,False,,unsat,False
1,MNIST_3x100,0,5,0.02,"(3, 3)",8.645424714,False,,unsat,False
2,MNIST_3x100,0,5,0.02,"(1.5, 1.5)",10.619399758999975,False,,unsat,False
3,MNIST_3x100,0,5,0.05,"(6, 6)",8.128573089000042,False,False,sat,False
4,MNIST_3x100,0,5,0.05,"(3, 3)",188.85618079799997,True,,timeout,False
5,MNIST_3x100,0,5,0.05,"(1.5, 1.5)",186.19606429500004,True,,timeout,False
6,MNIST_3x100,1,0,0.02,"(6, 6)",9.416482556999881,False,,unsat,False
7,MNIST_3x100,1,0,0.02,"(3, 3)",25.536874908000073,False,,unsat,False
8,MNIST_3x100,1,0,0.02,"(1.5, 1.5)",8.135630308000145,False,,unsat,False
9,MNIST_3x100,1,0,0.05,"(6, 6)",7.780150387000049,False,False,sat,False
10,MNIST_3x100,1,0,0.05,"(3, 3)",188.25760838299993,True,,timeout,False
11,MNIST_3x100,1,0,0.05,"(1.5, 1.5)",188.09030713700008,True,,timeout,False
12,MNIST_3x100,2,4,0.02,"(6, 6)",186.82160284099996,True,,timeout,False
13,MNIST_3x100,2,4,0.02,"(3, 3)",186.33362047299988,True,,timeout,False
14,MNIST_3x100,2,4,0.02,"(1.5, 1.5)",188.60394090299997,True,,timeout,False
15,MNIST_3x100,2,4,0.05,"(6, 6)",5.655111681000108,False,False,sat,False
16,MNIST_3x100,2,4,0.05,"(3, 3)",7.0091779600002155,False,False,sat,False
17,MNIST_3x100,2,4,0.05,"(1.5, 1.5)",6.274131096000019,False,,unsat,False
18,MNIST_3x100,3,1,0.02,"(6, 6)",7.632716748999883,False,False,sat,False
19,MNIST_3x100,3,1,0.02,"(3, 3)",186.4222454640003,True,,timeout,False
20,MNIST_3x100,3,1,0.02,"(1.5, 1.5)",186.95130078400007,True,,timeout,False
21,MNIST_3x100,3,1,0.05,"(6, 6)",7.734340107000207,False,False,sat,False
22,MNIST_3x100,3,1,0.05,"(3, 3)",6.487712830999953,False,False,sat,False
23,MNIST_3x100,3,1,0.05,"(1.5, 1.5)",6.060603441000239,False,False,sat,False
24,MNIST_3x100,4,9,0.02,"(6, 6)",187.77681651800003,True,,timeout,False
25,MNIST_3x100,4,9,0.02,"(3, 3)",186.69630470399989,True,,timeout,False
26,MNIST_3x100,4,9,0.02,"(1.5, 1.5)",186.82417282799997,True,,timeout,False
27,MNIST_3x100,4,9,0.05,"(6, 6)",8.571353886999987,False,False,sat,False
28,MNIST_3x100,4,9,0.05,"(3, 3)",7.987227184999938,False,False,sat,False
29,MNIST_3x100,4,9,0.05,"(1.5, 1.5)",6.38912146299981,False,True,sat,False
30,MNIST_3x100,5,2,0.02,"(6, 6)",6.882398757000374,False,False,sat,False
31,MNIST_3x100,5,2,0.02,"(3, 3)",187.08156506199975,True,,timeout,False
32,MNIST_3x100,5,2,0.02,"(1.5, 1.5)",186.390426896,True,,timeout,False
33,MNIST_3x100,5,2,0.05,"(6, 6)",5.972022499000104,False,False,sat,False
34,MNIST_3x100,5,2,0.05,"(3, 3)",7.753005640000083,False,False,sat,False
35,MNIST_3x100,5,2,0.05,"(1.5, 1.5)",6.295220952999898,False,False,sat,False
36,MNIST_3x100,6,1,0.02,"(6, 6)",9.547252950999791,False,,unsat,False
37,MNIST_3x100,6,1,0.02,"(3, 3)",186.5053450119999,True,,timeout,False
38,MNIST_3x100,6,1,0.02,"(1.5, 1.5)",186.34881132300006,True,,timeout,False
39,MNIST_3x100,6,1,0.05,"(6, 6)",8.714801585999794,False,False,sat,False
40,MNIST_3x100,6,1,0.05,"(3, 3)",7.596648154000377,False,False,sat,False
41,MNIST_3x100,6,1,0.05,"(1.5, 1.5)",188.07260699800008,True,,timeout,False
42,MNIST_3x100,7,3,0.02,"(6, 6)",186.2619701929998,True,,timeout,False
43,MNIST_3x100,7,3,0.02,"(3, 3)",51.68577766100043,False,,unsat,False
44,MNIST_3x100,7,3,0.02,"(1.5, 1.5)",7.737184669999806,False,,unsat,False
45,MNIST_3x100,7,3,0.05,"(6, 6)",6.115567986999849,False,False,sat,False
46,MNIST_3x100,7,3,0.05,"(3, 3)",188.75348865500018,True,,timeout,False
47,MNIST_3x100,7,3,0.05,"(1.5, 1.5)",186.9955035310004,True,,timeout,False
48,MNIST_3x100,8,1,0.02,"(6, 6)",5.908688261999487,False,False,sat,False
49,MNIST_3x100,8,1,0.02,"(3, 3)",186.87806056000045,True,,timeout,False
50,MNIST_3x100,8,1,0.02,"(1.5, 1.5)",188.5431352380001,True,,timeout,False
51,MNIST_3x100,8,1,0.05,"(6, 6)",8.599061737000739,False,False,sat,False
52,MNIST_3x100,8,1,0.05,"(3, 3)",7.960417872999642,False,False,sat,False
53,MNIST_3x100,8,1,0.05,"(1.5, 1.5)",6.396196034000241,False,False,sat,False
54,MNIST_3x100,9,4,0.02,"(6, 6)",186.5600928290005,True,,timeout,False
55,MNIST_3x100,9,4,0.02,"(3, 3)",187.23594370199953,True,,timeout,False
56,MNIST_3x100,9,4,0.02,"(1.5, 1.5)",188.6079640400003,True,,timeout,False
57,MNIST_3x100,9,4,0.05,"(6, 6)",5.659839285999624,False,False,sat,False
58,MNIST_3x100,9,4,0.05,"(3, 3)",186.50288050100062,True,,timeout,False
59,MNIST_3x100,9,4,0.05,"(1.5, 1.5)",187.48472841000057,True,,timeout,False
